,precision,recall,f1-score,support
Triangle_0,0.0,0.0,0.0,0.0
Triangle_4,0.0,0.0,0.0,8.0
Triangle_5,0.0,0.0,0.0,119.0
Star_3,0.0,0.0,0.0,19.0
Star_2,0.0,0.0,0.0,2.0
Star_0,0.0034883720930232558,1.0,0.006952491309385863,3.0
Star_4,0.0,0.0,0.0,50.0
Star_5,0.0,0.0,0.0,24.0
Wave_3,0.0,0.0,0.0,23.0
Wave_2,0.0,0.0,0.0,2.0
Wave_0,0.0,0.0,0.0,0.0
Wave_4,0.0,0.0,0.0,103.0
Circle_3,0.0,0.0,0.0,15.0
Circle_2,0.0,0.0,0.0,0.0
Circle_0,0.0,0.0,0.0,1.0
Circle_4,0.0,0.0,0.0,91.0
Square_0,0.0,0.0,0.0,0.0
Square_4,0.0,0.0,0.0,11.0
Square_5,0.0,0.0,0.0,120.0
Overlapped pencils_3,0.0,0.0,0.0,2.0
Overlapped pencils_2,0.0,0.0,0.0,0.0
Overlapped pencils_0,0.0,0.0,0.0,4.0
Overlapped pencils_4,0.0,0.0,0.0,8.0
Overlapped pencils_6,0.0,0.0,0.0,33.0
Overlapped pencils_5,0.0,0.0,0.0,30.0
Overlapped circle_2,0.0,0.0,0.0,0.0
Overlapped circle_0,0.0,0.0,0.0,1.0
Overlapped circle_4,0.0,0.0,0.0,1.0
Overlapped circle_6,0.0,0.0,0.0,62.0
Overlapped circle_5,0.0,0.0,0.0,28.0
Diagonal_3,0.0,0.0,0.0,0.0
Diagonal_0,0.0,0.0,0.0,0.0
Diagonal_4,0.0,0.0,0.0,16.0
Diagonal_5,0.0,0.0,0.0,84.0
accuracy,0.0034883720930232558,0.0034883720930232558,0.0034883720930232558,0.0034883720930232558
macro avg,0.00010259917920656635,0.029411764705882353,0.0002044850385113489,860.0
weighted avg,1.2168739859383451e-05,0.0034883720930232558,2.4252876660648362e-05,860.0
